Year	Catch
1978	67.64640606
1979	77.47366061
1980	101.1851333
1981	113.7423758
1982	113.4296788
1983	102.282703
1984	97.0106
1985	87.9104
1986	71.07474545
1987	96.94073636
1988	105.8893455
1989	103.8617939
1990	114.5744576
1991	125.7750848
1992	122.0914939
1993	131.985103
1994	159.9715679
1995	139.6466273
1996	202.0373789
1997	168.6545579
1998	186.066463
1999	173.238384
2000	122.1626497
2001	96.3345374
2002	113.0537406
2003	128.3861055
2004	102.7271016
2005	76.77076566
2006	76.54629186
2007	64.69411183
2008	99.43208315
